t,P,T
2020-07-26 19:00:00-07:00,2.36101,15.9
2020-07-26 20:00:00-07:00,3.64776,14.4
2020-07-26 21:00:00-07:00,4.24593,13.9
2020-07-26 22:00:00-07:00,4.05898,13.3
2020-07-26 23:00:00-07:00,3.98126,12.8
2020-07-27 00:00:00-07:00,3.92204,12.8
2020-07-27 01:00:00-07:00,3.93438,12.8
2020-07-27 02:00:00-07:00,4.14718,12.8
2020-07-27 03:00:00-07:00,4.65544,12.8
2020-07-27 04:00:00-07:00,5.30412,12.8
2020-07-27 05:00:00-07:00,5.91379,12.8
2020-07-27 06:00:00-07:00,7.00958,13.5
2020-07-27 07:00:00-07:00,8.66615,14.3
2020-07-27 08:00:00-07:00,9.0373,15.0
2020-07-27 09:00:00-07:00,8.41273,16.5
2020-07-27 10:00:00-07:00,15.9326,17.9
2020-07-27 11:00:00-07:00,16.5126,19.4
2020-07-27 12:00:00-07:00,17.0347,20.3
2020-07-27 13:00:00-07:00,17.3406,21.3
2020-07-27 14:00:00-07:00,17.4431,22.2
2020-07-27 15:00:00-07:00,16.5693,21.3
2020-07-27 16:00:00-07:00,15.0593,20.3
2020-07-27 17:00:00-07:00,13.2398,19.4
2020-07-27 18:00:00-07:00,4.02181,18.9
2020-07-27 19:00:00-07:00,4.25888,18.3
2020-07-27 20:00:00-07:00,4.03904,17.8
2020-07-27 21:00:00-07:00,4.12156,16.7
2020-07-27 22:00:00-07:00,3.8516,15.5
2020-07-27 23:00:00-07:00,3.79348,14.4
2020-07-28 00:00:00-07:00,3.76266,14.0
2020-07-28 01:00:00-07:00,3.81483,13.7
2020-07-28 02:00:00-07:00,4.08083,13.3
2020-07-28 03:00:00-07:00,4.58924,13.3
2020-07-28 04:00:00-07:00,5.23806,13.3
2020-07-28 05:00:00-07:00,5.84785,13.3
2020-07-28 06:00:00-07:00,6.98327,13.7
2020-07-28 07:00:00-07:00,8.60768,14.0
2020-07-28 08:00:00-07:00,9.26069,14.4
2020-07-28 09:00:00-07:00,9.69061,15.0
2020-07-28 10:00:00-07:00,16.5669,15.5
2020-07-28 11:00:00-07:00,18.2987,16.1
2020-07-28 12:00:00-07:00,18.104,16.7
2020-07-28 13:00:00-07:00,16.4473,17.2
2020-07-28 14:00:00-07:00,16.814,17.8
2020-07-28 15:00:00-07:00,16.0514,17.6
2020-07-28 16:00:00-07:00,14.6972,17.4
2020-07-28 17:00:00-07:00,12.9953,17.2
2020-07-28 18:00:00-07:00,3.53087,16.3
2020-07-28 19:00:00-07:00,4.27427,15.3
2020-07-28 20:00:00-07:00,4.25844,14.4
2020-07-28 21:00:00-07:00,4.47929,14.0
2020-07-28 22:00:00-07:00,4.09014,13.7
2020-07-28 23:00:00-07:00,3.93948,13.3
2020-07-29 00:00:00-07:00,3.88218,13.1
2020-07-29 01:00:00-07:00,3.9078,13.0
2020-07-29 02:00:00-07:00,4.14718,12.8
2020-07-29 03:00:00-07:00,4.65544,12.8
2020-07-29 04:00:00-07:00,5.30412,12.8
2020-07-29 05:00:00-07:00,5.91379,12.8
2020-07-29 06:00:00-07:00,7.03588,13.3
2020-07-29 07:00:00-07:00,8.65094,13.9
2020-07-29 08:00:00-07:00,9.74517,14.4
2020-07-29 09:00:00-07:00,9.15326,15.9
2020-07-29 10:00:00-07:00,16.1785,17.4
2020-07-29 11:00:00-07:00,16.3843,18.9
2020-07-29 12:00:00-07:00,16.8904,20.0
2020-07-29 13:00:00-07:00,17.1799,21.1
2020-07-29 14:00:00-07:00,17.4599,22.2
2020-07-29 15:00:00-07:00,16.6978,21.8
2020-07-29 16:00:00-07:00,15.1681,21.5
2020-07-29 17:00:00-07:00,13.3883,21.1
2020-07-29 18:00:00-07:00,4.23218,19.6
2020-07-29 19:00:00-07:00,4.41814,18.2
2020-07-29 20:00:00-07:00,4.30477,16.7
2020-07-29 21:00:00-07:00,4.22882,16.3
2020-07-29 22:00:00-07:00,3.78543,16.0
2020-07-29 23:00:00-07:00,3.63441,15.6
2020-07-30 00:00:00-07:00,3.57695,15.4
2020-07-30 01:00:00-07:00,3.61584,15.2
2020-07-30 02:00:00-07:00,3.85549,15.0
2020-07-30 03:00:00-07:00,4.39084,14.8
2020-07-30 04:00:00-07:00,5.06648,14.6
2020-07-30 05:00:00-07:00,5.70289,14.4
2020-07-30 06:00:00-07:00,6.81244,15.0
2020-07-30 07:00:00-07:00,8.7968,15.5
2020-07-30 08:00:00-07:00,9.10568,16.1
2020-07-30 09:00:00-07:00,8.65952,17.0
2020-07-30 10:00:00-07:00,15.7717,18.0
2020-07-30 11:00:00-07:00,16.1938,18.9
2020-07-30 12:00:00-07:00,16.881,19.8
2020-07-30 13:00:00-07:00,17.1595,20.8
2020-07-30 14:00:00-07:00,17.5162,21.7
2020-07-30 15:00:00-07:00,16.6586,21.1
2020-07-30 16:00:00-07:00,15.0441,20.6
2020-07-30 17:00:00-07:00,13.3598,20.0
2020-07-30 18:00:00-07:00,3.87196,19.1
2020-07-30 19:00:00-07:00,4.14678,18.1
2020-07-30 20:00:00-07:00,4.0255,17.2
2020-07-30 21:00:00-07:00,4.13515,16.7
2020-07-30 22:00:00-07:00,3.7722,16.1
2020-07-30 23:00:00-07:00,3.63441,15.6
2020-07-31 00:00:00-07:00,3.52395,15.8
2020-07-31 01:00:00-07:00,3.52309,15.9
2020-07-31 02:00:00-07:00,3.70991,16.1
2020-07-31 03:00:00-07:00,4.24557,15.9
2020-07-31 04:00:00-07:00,4.90832,15.8
2020-07-31 05:00:00-07:00,5.54496,15.6
2020-07-31 06:00:00-07:00,6.8284,15.6
2020-07-31 07:00:00-07:00,8.87561,15.6
2020-07-31 08:00:00-07:00,9.84925,15.6
2020-07-31 09:00:00-07:00,9.8649,16.1
2020-07-31 10:00:00-07:00,18.8216,16.7
2020-07-31 11:00:00-07:00,18.3004,17.2
2020-07-31 12:00:00-07:00,18.242,17.8
2020-07-31 13:00:00-07:00,17.6026,18.3
2020-07-31 14:00:00-07:00,17.6309,18.9
2020-07-31 15:00:00-07:00,17.1222,19.3
2020-07-31 16:00:00-07:00,14.493,19.6
2020-07-31 17:00:00-07:00,15.0101,20.0
2020-07-31 18:00:00-07:00,5.33819,18.9
2020-07-31 19:00:00-07:00,5.46808,17.8
2020-07-31 20:00:00-07:00,4.82946,16.7
2020-07-31 21:00:00-07:00,4.22882,16.3
2020-07-31 22:00:00-07:00,3.78543,16.0
2020-07-31 23:00:00-07:00,3.59467,15.9
2020-08-01 00:00:00-07:00,3.57846,15.7
